user,location,verified,followers,content,polarity
ThemePark,"Los Angeles, CA",FALSE,"47,736","So if I am seeing this correctly, starting Monday, none of the top 25 most attended theme parks in the world will b… https://t.co/uDFRLAUF5U",0.333333333
ThemePark,"Los Angeles, CA",FALSE,"47,736",The @TEA_Connect moves its TEA Summit and Thea Awards Gala to July. https://t.co/9MY8B2xQzz,
ThemePark,"Los Angeles, CA",FALSE,"47,736",Walt Disney World is extending annual passes and valid use periods on certain multi-day tickets as a result of its… https://t.co/q96PvS41R6,0.214285714
ThemePark,"Los Angeles, CA",FALSE,"47,736",Dollywood postpones its opening until March 28. https://t.co/9MY8B2xQzz,
ThemePark,"Los Angeles, CA",FALSE,"47,736",Another big theme park chain announces its coronavirus closure. The Busch Gardens and SeaWorld parks will close Mon… https://t.co/w6nxjeQBwM,
ThemePark,"Los Angeles, CA",FALSE,"47,736",Six Flags parks join the list of closed and delayed theme parks due to #Covid19 https://t.co/9MY8B2xQzz,-0.1125
ThemePark,"Los Angeles, CA",FALSE,"47,736",Knott's Berry Farm will close tomorrow through the end of the month and Carowinds and Kings Dominion have postponed… https://t.co/pXBwYpQa26,
ThemePark,"Los Angeles, CA",FALSE,"47,736","Universal Orlando announces that it will close its theme parks, starting Monday. The hotels and CityWalk will remai… https://t.co/8CwW5QCoRF",
ThemePark,"Los Angeles, CA",FALSE,"47,736",Rounding up the day's travel #coronavirus news: https://t.co/cKE6moi6r9,
ThemePark,"Los Angeles, CA",FALSE,"47,736","And that's it. Walt Disney World is closing due to Covid-19, too, as is Disneyland Paris and the Disney Cruise Line. https://t.co/zk7w4vTjEk",-0.125
ThemePark,"Los Angeles, CA",FALSE,"47,736","And now, @UniStudios Hollywood closes, too. https://t.co/v4HeKykNlB",
ThemePark,"Los Angeles, CA",FALSE,"47,736","The Disneyland Resort's theme parks will close to guests, effective Saturday, March 14, Disney announced today. https://t.co/faaA2ytmwV",0.6
ThemePark,"Los Angeles, CA",FALSE,"47,736",Dollywood postpones media day; Warner Park Madrid closes. The latest #COVID19 updates: https://t.co/cKE6moi6r9,0.5
ThemePark,"Los Angeles, CA",FALSE,"47,736",We are starting a new daily blog with the latest coronavirus travel news. https://t.co/cKE6moi6r9,0.159090909
ThemePark,"Los Angeles, CA",FALSE,"47,736",ICYMI: Some perspective on the #Coronavirus crisis and how it's affecting travel and events. https://t.co/L0UK6rYbqR,
ThemePark,"Los Angeles, CA",FALSE,"47,736",The Tokyo Disney Resort and Universal Studios Japan today each announced that they will not reopen next Monday as p… https://t.co/iD4ek8YwMD,
ThemePark,"Los Angeles, CA",FALSE,"47,736",The Disneyland Resort this morning revealed the opening date for its new Marvel-themed Avengers Campus at Disney Ca… https://t.co/aGJU3vxsYJ,0.136363636
ThemePark,"Los Angeles, CA",FALSE,"47,736","It's a tough time to be making travel plans. After all, it's hard to look forward to anything when all the stuff yo… https://t.co/eZNO8b1uqp",-0.340277778
ItsmeyoboiJose,Fresno CA,FALSE,"46,334",NEW FLUME !!!!! https://t.co/DEhO5C0RIY,0.136363636
RUNTHETRAP,"Chicago, IL",FALSE,"42,645",".@flumemusic and @ToroyMoi just dropped their drum &amp; bass collaboration, ""The Difference."" 😱😱

🎧 Listen Below ⬇️… https://t.co/FwyQzy1yW1",-0.15
VARIANCE,tulsa / usa,FALSE,"41,484","» @flumemusic + @ToroyMoi have shared a colorful new track ""The Difference,"" their first collaboration together:… https://t.co/OdLkwIA4GX",0.228787879
bmorrissey,NYC,FALSE,"40,804",No lines at the log flume https://t.co/XmoPXfdmd3,
Syncrohs,Vancouver 🇨🇦,TRUE,"38,798","@ImBlagoon Illenium, Gryffin, Louis The Child, Seven Lions, Slander, DJ Snake, Flume",
goando,東京,FALSE,"34,918","Flume “The Difference(feat. Toro y Moi)”

https://t.co/M2z3jv6NkX",
nerdychanel,Melbourne,FALSE,"34,264","THIS SONG, THIS SONG BEAT FLUME’S HOLDIN ON, BALL PARK MUSIC’S IT’S NICE TO BE ALIVE AND LORDE’S ROYALS, THIS IS FUCKED UP",0.033333333
nerdychanel,Melbourne,FALSE,"34,264","Flume did not eat ass for this shit, I will riot at dawn over this debarcle, this is not democracy, I will fight fo… https://t.co/bVKIrRo271",-0.2
nerdychanel,Melbourne,FALSE,"34,264","If Holdin On is not in top 5 I’m about to fucking go ham, that song is everything, it’s literally Flume’s best song #hottest100",0.3
nerdychanel,Melbourne,FALSE,"34,264",@bronteadelaide The original is pure class but Flume just added that spice it needed,0.294642857
nerdychanel,Melbourne,FALSE,"34,264",Flume [2012] and Flume (Deluxe Edition) [2013] are superior to Skin [2016] and Hi This Is Flume (Mixtape) [2019] an… https://t.co/T7FJ0cPJvE,0.65
nerdychanel,Melbourne,FALSE,"34,264",So my prediction for the Hottest 100 of the Decade is Flume’s entire discography will make an appearance lmfao,
UsaEDMFamily,United States Of America,FALSE,"33,420","Retweet if you've seen:

Flume
Excision
Illenium
Seven Lions
3Lau
Zeds Dead",-0.2
themusicnetwork,"Sydney, Australia",TRUE,"32,660",Harley Streten (@flumemusic) has loaned his new bop to Apple. https://t.co/WTrMuOxNbk,0.136363636
HIPVideoPromo,New Jersey,TRUE,"32,369","Tune into MTVU to watch ""The Difference"" by @flumemusic feat. @ToroyMoi - now in rotation! #flume #toroymoi… https://t.co/aMtwniQVgC",
musicfeeds,Australia,TRUE,"31,725",.@flumemusic is looking to write a #coronacollab. Will @charli_xcx join him? https://t.co/12i7EIgKCX https://t.co/pEXkAfaWb6,
musicfeeds,Australia,TRUE,"31,725",".@flumemusic unveils new single ‘The Difference’ feat. @ToroyMoi 

https://t.co/YVIu0q5G1O https://t.co/7XO60ehyMT",0.032467532
thissongissick_,"Denver, CO",FALSE,"30,127",Listen to @flumemusic &amp; @ToroyMoi’s dreamy new drum &amp; bass collab “The Difference” - https://t.co/dx3Sz8nEbS https://t.co/hmtt8zQNeJ,-0.006818182
coupdemain,New Zealand,TRUE,"29,983",Splendour In The Grass (@SITG) has announced that the 2020 edition of the festival is being rescheduled to October… https://t.co/JLS7OVZ3wj,
wizzdom7,,FALSE,"28,802",Flume - The Difference (feat. Toro y Moi) – Single [iTunes Plus AAC M4A] - https://t.co/WAhhXBsUCI https://t.co/HgXKsVJmaF,-0.071428571
homeandhosed,Australia,TRUE,"27,105",With some Drum n Bass tinges and sneakily good ooooh-wooo-wooo melodies from @ToroyMoi it's another winner from… https://t.co/8pH7QhveTJ,0.275
bestofmarktuan,cr. on pics,FALSE,"26,361","✨ 200315 mark's vlive playlist: 

black and white - niall horan
forever - fletcher
happiest year - jaymes young
the… https://t.co/hXdMSkXd6B",-0.083333333
magnetic_mag,"Hollywood, CA",FALSE,"21,722",".@flumemusic &amp; @ToroyMoi have teamed up on a new chill drum and bass collaboration ""The Difference"" via… https://t.co/y57E3XEHFx",-0.006818182
FMUOASL,"Dallas, Earth",FALSE,"21,664",@drewmichaelll Flume and aw are under aeg...,
BBCR1MusicBot,,FALSE,"21,635","Now Playing Flume, Toro y Moi - The Difference @flumemusic, @ToroyMoi",
BBCR1MusicBot,,FALSE,"21,635","Now Playing Flume, Vera Blue - Rushing back (Ekko &amp; Sidetrack bootleg) @flumemusic, @verabluemusic",-0.133333333
Foliage_Reports,"Salem MA, New England",FALSE,"20,759","An adventure a day keeps the doctor away...
Flume Gorge covered Bridge in Franconia Notch State Park New Hampshire.… https://t.co/0xTPJzbrsF",0.136363636
Foliage_Reports,"Salem MA, New England",FALSE,"20,759","An adventure a day keeps the doctor away...
Flume Gorge covered Bridge in Franconia Notch State Park New Hampshire.… https://t.co/8BqAREdxq4",0.136363636
Foliage_Reports,"Salem MA, New England",FALSE,"20,759","An adventure a day keeps the doctor away...
Flume Gorge covered Bridge in Franconia Notch State Park New Hampshire.… https://t.co/mtXFCVk0Wt",0.136363636
weraveyou,,FALSE,"20,565",".@flumemusic shares insight on ""The Difference"" feat. @ToroyMoi Moi during @AppleMusic Interview

https://t.co/ecLnxbH0tw",
ThinkYouKnowMus,Everywhere,FALSE,"20,115","Music News           Watch the Serenely Trippy Video for the Flume @flumemusic &amp; Toro Y Moi's @ToroyMoi ""The Differ… https://t.co/fdzDP5CwCU",
cubsportmusic,"Brisbane, Australia",TRUE,"20,071",After listening to new Flume x Toro y Moi on repeat five times 😛,0.136363636
HESherman,New York NY,TRUE,"19,845","@CraigPospisil Yes, perhaps Splash Mountain is now a flume ride through Purell.",
AllHits_86,"Toronto, Hamilton, KW Ontario",FALSE,"19,515","Now Playing: ♫ Flume feat. Kai Never Be Like You https://t.co/hjCWHYHcDk
 🎧",
AllHits_86,"Toronto, Hamilton, KW Ontario",FALSE,"19,515","Now Playing: ♫ Flume feat. Kai Never Be Like You https://t.co/P5gjPJy1lR
 🎧",
BluePurpleMusic,The Netherlands,FALSE,"19,071",Watch the Serenely Trippy Video for the Flume &amp; Toro Y Moi’s ‘The Difference’ https://t.co/dHN8Qxz8mv #billboard… https://t.co/sgPnhf9q5z,
gawndog37,,TRUE,"17,814","Nah but serious, how good is flume @flumemusic #7songs",0.183333333
mbeKCRW,"Santa Monica, CA",TRUE,"17,228","We're loving this collab with @ToroyMoi + @flumemusic! Check out their new track✨

https://t.co/PKkbDqStN6",0.368181818
spacevaluee,Traveler of both time n space,FALSE,"16,726","medium sized flume candle, melts shimmery hot pink ~ with a light fruity scent 💚 $22 shipped 💚

dm to claim! https://t.co/oLvMpDkZI4",0.183333333
philthese,"Los Angeles, CA",FALSE,"16,167",@bASS_brAtt123 Can’t wait for flume😌,
IHEARTCOMIX,"Los Angeles, California",TRUE,"15,163","🆕🆒🆕🆒🆕🆒

Make bad times better with good music from:
@Flume x @ToroyMoi 
@JayElectronica 
@KassaOverall… https://t.co/LTZHl0AdsZ",0.166666667
huhmagazine,London,FALSE,"15,085",Flume shares the visuals for “The Difference” feat. Toro y Moi https://t.co/cs06iptSbT,
WeAreIndieDance,"Nashville, TN",FALSE,"14,967",Flume Is Taking Advantage Of Self-Isolation With New Potential Collabs https://t.co/SUoG7ucuGm,0.068181818
WeAreIndieDance,"Nashville, TN",FALSE,"14,967","Flume Drops New Chill Drum &amp; Bass Collab With Toro Y Moi, ""The Difference"" https://t.co/0vodZtTz6b",-0.006818182
BBC6MusicBot,United Kingdom,FALSE,"14,852","Now Playing Flume, Toro y Moi - The Difference @flumemusic, @ToroyMoi",
iamchristina_f,"Russia, Tatarstan,Kazan city",FALSE,"14,411",Flume feat. Toro y Moi - The Difference (Official Music Video) https://t.co/knIe2fNr6H,
ooh_lalalivia,"Denver, CO",FALSE,"14,307",OMFG Flume is coming back to Red Rocks 😭😭😭🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼,
