,user,location,verified,followers,content,polarity
290,lilredriddim,IG: lilredriddimhood,FALSE,"2,099",RIP buku I just wanted to see flume &lt;/3,
1144,alexhidebot,the growing land,FALSE,"2,082",happy weed day everyone and happy birthday to new flume and it is having a good weekend,0.609090909
222,alexhidebot,the growing land,FALSE,"2,082",Good to new flume and it is very good I like to a lot everyone,0.582121212
151,alexhidebot,the growing land,FALSE,"2,082",i want to listening to new flume and it is very good I like to a lot everyone,0.523181818
366,alexhidebot,the growing land,FALSE,"2,082",Don't miss my way to new flume and it is very good I like to a lot everyone,0.523181818
617,alexhidebot,the growing land,FALSE,"2,082",Good to listening to new flume and it is love so weird???,0.209090909
1071,vibesaftermusic,"Iaşi, România",FALSE,"2,064",#freshtune #newmusicvideo #vibesaftermusic New video : Flume feat. Toro y Moi - The Difference (Official Music Vide… https://t.co/a9PMhNrezR,0.136363636
124,iashuhere,"Toronto, Ontario",FALSE,"2,055","Apple's New Airpods Ad (Featuring Flume) Will Be The Most Fun You Have All Week
 Watch here -… https://t.co/fYC4s5crbZ",0.312121212
193,T2000000000,,FALSE,"2,050",Flume - How To Build A Relationship (feat. JPEGMAFIA) https://t.co/GMypAe5VJX,
283,meechydarco,idk man follow the torches ,FALSE,"2,040",i rly like toro y moi so i freaked out when i saw the collab with flume but it sucks ass LMAO,0.15
965,itscamdaniels,📍LA,FALSE,"2,039",Yo the new flume with toro y Moi might be the best song I’ve heard in a while https://t.co/KFpjjArE6n,0.568181818
106,poulpebulle,,FALSE,"2,018",Flume feat. Toro y Moi - The Difference [Official Lyric Video] https://t.co/6g5islsjeK via @YouTube,0.25
466,poulpebulle,,FALSE,"2,018",Flume feat. Toro y Moi - The Difference (Official Music Video) https://t.co/bn3lJEK5rb via @YouTube,
333,zero6below,he/him,FALSE,"2,006",if i ever saw flume live id absolutely shit myself,-0.031818182
334,fluxfm_berlin,Berlin,FALSE,"2,002","12.03. 19:52 Uhr: Flume ""The Difference (feat. Toro y Moi)""",
1083,fluxfm_berlin,Berlin,FALSE,"2,002","11.03. 17:11 Uhr: Flume ""The Difference (feat. Toro y Moi)""",
797,365diasdemusica,"Florianópolis, Brasil",FALSE,"1,995",Flume feat. Toro y Moi - The Difference https://t.co/nlVuCwaJe0,
733,portinfinite,Los Angeles,FALSE,"1,994","Flume shares ""The Difference"" featuring Toro y Moi, to play three nights at Red Rocks June 8-10 for Flume &amp; Friends… https://t.co/h8JLzZ8D9H",
937,portinfinite,Los Angeles,FALSE,"1,994","Flume shares ""The Difference"" featuring Toro y Moi, to play three nights at Red Rocks June 8-10 for Flume &amp; Friends https://t.co/s9Zrl4rnZy",
720,imlightyear,"Chicago, IL",FALSE,"1,967",Flume,
236,Gagasexuals,Tucson,FALSE,"1,963",Follow me on Instagram :OmarVlad !!! Been posting a lot more flow videos and art and I follow back!  #flume #flow… https://t.co/miZQYnCrsI,0.25
61,coastertouring,England,FALSE,"1,960","A great ride to shoot, a great upgrade to flume rides, a great use of motion simulators. https://t.co/HS2Y5a7g2b",0.8
866,stalesmcgalesss,"Chicago, IL",FALSE,"1,931",im listening to the flume and toro y moi collab and it sounds like it should be playing in a haunted Madewell,
632,theinterns_net,Sydney,FALSE,"1,928",Rapid React: @flumemusic and @ToroyMoi is a plush moment that just feels right https://t.co/aHfJNUGZh8 https://t.co/jalNV6X3eB,0.285714286
1188,VibesSushi,at a sushi resturant ,FALSE,"1,926",@ravemom3000 FLUME?!,
886,TrapWookie,Spain but the S is Silent ,FALSE,"1,907",I’m loving this new Flume! 🥰,0.368181818
247,TrapWookie,Spain but the S is Silent ,FALSE,"1,907",I seriously can’t get over this Flume &amp; Toro song,-0.333333333
1099,mhudelson,New Jersey,FALSE,"1,904",New @hipvideopromo client - @flumemusic: Flume feat. Toro y Moi - The Difference (Official Music Video) https://t.co/8DitH55E7F via @YouTube,0.136363636
351,deepplaylist,"Amsterdam, Netherlands",FALSE,"1,900",Nu on air: Flume ft London Grammar - Let You Know (Ross from Friends Remix) https://t.co/MIA7n8TQH6,
1212,deepplaylist,"Amsterdam, Netherlands",FALSE,"1,900",Nu on air: Flume ft London Grammar - Let You Know (Ross from Friends Remix) https://t.co/MIA7n8Cfiw,
1092,JeremyBednarski,"North Olmsted, OH",FALSE,"1,899",@JimMacLeod @jeremarketer Here’s an article that explains dime of the restrictions and allowances for Disney and Ma… https://t.co/eh9rtbJJeL,
76,s___flexing,"Corning, NY",FALSE,"1,893",Ugh I love the Flume x Toro y Moi collab sm,0.5
947,s___flexing,"Corning, NY",FALSE,"1,893",that flume collab is an ice cold crispy,-0.6
285,iCroswell,"New Orleans, LA",FALSE,"1,890","I been waiting for the opportunity to shoot flume for 4 years now. Literally dreaming about it 

Guess I gotta wait a few more months 🙃",0.15
336,iCroswell,"New Orleans, LA",FALSE,"1,890",Just listened to Tiny Cities by Flume and I ain’t alright,
96,EDLC_Leisure,"Kirkintilloch, Scotland",FALSE,"1,885","Due to a swimming gala the three pools, flume and health suite will not be available on Sunday 22nd March from 1pm… https://t.co/tYU9OFglZS",0.1375
597,eseabram,Center of TX,FALSE,"1,859",@jaylexjess Same! If ef decides to cancel I'll be sending it to Flume's Redrocks show!! :),-0.25
257,kamlefrere,"New Orleans, LA",FALSE,"1,845",what if flume can’t make it in september :(,
199,metsFanscotty,,FALSE,"1,832","If you took out your gym before riding the log flume at six flags , you are immune https://t.co/Npd4MkMgHJ",
957,alisonemilyw,"St Petersburg, FL",FALSE,"1,829",and new flume😭 my heart is thriving https://t.co/ijmKAH1GXa,0.136363636
744,TheDailyNote401,The Internet ,FALSE,"1,813","Wow.

@flumemusic tapped @ToroyMoi for his new single ""The Difference"".

Its DOPE.
Peep the new video now.… https://t.co/nSDuChZTLe",0.067099567
815,JailynCaylen,mosh pit,FALSE,"1,799",@mateolemus21 File as a Sole Proprietor on Silver Flume,
529,SuperM_Fans,use link 4 Neo Zone preorder💚,FALSE,"1,743","qrt and try to name all the artists you’ve seen in concert: arctic monkeys, vampire weekend, phoenix, chvrches, pha… https://t.co/NWNMlrBLEx",
289,NorthernLefty,South Yorkshire ,FALSE,"1,735",I really admire all of those who inherited their wealth. The amount of pre-birth effort it must have taken to choos… https://t.co/4n5pcB05X2,0.2
843,zeitpop,"San Francisco, CA",TRUE,"1,704",Flume and Toro Y Moi Share New Song “The Difference”: Listen https://t.co/v40EkzHlmH via @pitchfork #toroymoi #flume #thedifference,0.136363636
924,imax713,IG: imax713,FALSE,"1,677",doesn’t matter new Flume is out 🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓,0.136363636
665,musikoff,"Reims, France",FALSE,"1,677",Flume feat. Toro y Moi - The Difference (Official Music Video) https://t.co/4H35nyWeWG via @YouTube,
502,Viiancax3,New York City ,FALSE,"1,674",Pretty sure corona started when Flume ate his girls ass at Burning Man,0.375
