Track,Artist,Track Popularity,Followers,Genres,Artist Popularity,Release Date,Date,Total Playlists,Akustischer Fruhling,All New Indie,Apero,Arkada Calsın,Cafe Libros,Coffee and Chill,Feelgood Indie,Fresh Finds,Fresh Folk,Front Left,Fruhlings Chillout,Fruhlingsgefuhle,Gentle Acoustic,Hanging Out and Relaxing,Indie Pop,Indie Stage,Infinite Acoustic,Its ALT Good!,Lorem,Lost In The Woods,Melancolia Indie,MostBeautifulSongsintheWorld,OFF POP,POLLEN,Rockin Vibes,Roots Rising,The Indie List,The New Alt,The Stress Buster,Totally Alt,Totally Stress Free,Ultimate Indie,Van Life,Wake Up and Smell the Coffee,Wild and Free,Young & Free,Your Coffee Break,Your Office Stereo
Still the Same (feat. Boy In Space),SHY Martin,67,130914,"['electropop', 'indie poptimism', 'norwegian pop', 'pop', 'post-teen pop', 'swedish electropop', 'tropical house']",71,2020-02-28,2020-04-03,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Easy to Love,Oscar Lang,21,18255,['bedroom pop'],55,2020-03-13,2020-04-03,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Love Is A Drug,Empress Of,28,74339,"['alternative r&b', 'art pop', 'chillwave', 'dance pop', 'electropop', 'escape room', 'etherpop', 'experimental pop', 'indie soul', 'indietronica', 'shimmer pop', 'shiver pop']",62,2020-03-31,2020-04-03,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The River,Goth Babe,57,71929,"['indie garage rock', 'indie pop', 'modern rock', 'vapor soul']",61,2020-02-28,2020-04-03,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
End Summer,Goth Babe,55,71929,"['indie garage rock', 'indie pop', 'modern rock', 'vapor soul']",61,2020-03-26,2020-04-03,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeroplane Bathroom,Gordi,38,29209,['australian electropop'],51,2020-03-23,2020-04-03,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karaoke,Ginger Root,44,10134,[],43,2020-03-11,2020-04-03,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cookout,Serena Isioma,52,1467,[],43,2020-03-18,2020-04-03,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dear April (Side A - Acoustic),Frank Ocean,0,5477999,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",84,2020-04-03,2020-04-03,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trying,Orion Sun,56,33320,"['alternative r&b', 'bedroom pop', 'indie r&b', 'indie soul']",58,2020-03-27,2020-04-03,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
